id,brand,name,variant,price,category_path,category_name,image_url
59cf8edf722d6a49883a9374,Deliplus,Gel higiene intimo liquido hidratante con dosificador,Botella 500 ml,2.25,Perfumería y Parafarmacia > Higiene Íntima > Gel Íntimo,Gel Íntimo,https://a0.soysuper.com/e05b9f2ca556118b5dee3ab4d1ba7787.110.110.0.min.wmark.98998f6b.jpg
62ef639ce6ed400df024fc91,Deliplus,Perfilador labios normal Nº 07 cereza,U,2.5,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Labios,Maquillaje para Labios,https://a2.soysuper.com/8fb37933937598a85edc52c0733e2427.110.110.0.min.wmark.85d4f71c.jpg
69b2eaf41452a0194934fef1,Deliplus,Laca uñas Nº 138 rosa,U,2.5,Perfumería y Parafarmacia > Maquillaje > Laca para Uñas,Laca para Uñas,https://a0.soysuper.com/5854fec91b35d4508befcac466132b8f.110.110.0.min.wmark.256ee7ac.jpg
6927017ae6ed4057b04ac84b,Deliplus,"Paleta cosmetica ojos sombras nude romance (contiene sombras mate ,satinadas e iluminador)",U,6.5,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Ojos,Maquillaje para Ojos,https://a1.soysuper.com/5109261f129bbd54867a079e8ee2a989.110.110.0.min.wmark.a4cdf7ab.jpg
67c5c5561452a07f8d428f25,Deliplus,Colorete liquido blush mate Nº 01 rosa amarronado,U,4.76,Perfumería y Parafarmacia > Maquillaje > Maquillaje Facial,Maquillaje Facial,https://a1.soysuper.com/8fc2ee9bd868f4164bb9de1a0f4a7b5f.110.110.0.min.wmark.9dadf90c.jpg
696224d70932f7179c662ac4,Deliplus,Laca uñas Nº 134 topo,U,2.5,Perfumería y Parafarmacia > Maquillaje > Laca para Uñas,Laca para Uñas,https://a1.soysuper.com/fdad0d7ac7ce396bcd0c7486e8998a90.110.110.0.min.wmark.7f43dc80.jpg
68cedf440932f74a425d2ead,Deliplus,Maquillaje fluido serum Nº 300,U,7,Perfumería y Parafarmacia > Maquillaje > Maquillaje Facial,Maquillaje Facial,https://a2.soysuper.com/cf004dd1003a846682ef3aae8e59d7eb.110.110.0.min.wmark.5256ea89.jpg
681c52638ca63c493d53fb10,Deliplus,Gel baño dermo aroma piel normal tiernos recuerdos,Botella 750 ml,1.59,Perfumería y Parafarmacia > Cuidado Corporal > Gel de Baño,Gel de Baño,https://a0.soysuper.com/65c6bb9b6d59b220376d8414d530512a.110.110.0.min.wmark.6e4f1d6e.jpg
673c7d81722d6a24712462a8,Deliplus,Perfilador ojos automatico Nº 15 azul,U,2.5,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Ojos,Maquillaje para Ojos,https://a2.soysuper.com/c39cb69d510512e831f5d17c40266ec4.110.110.0.min.wmark.3ebee2a1.jpg
66277324e93cdf45d6062c85,Deliplus,Toallitas humedas refrescantes tejido suave (sobre monodosis),Paquete 10 u,1,Perfumería y Parafarmacia > Higiene Íntima > Toallitas Íntimas Frescas,Toallitas Íntimas Frescas,https://a1.soysuper.com/2b8dad8683828c27e4acba08bb7ad754.110.110.0.min.wmark.7080b5e8.jpg
68cedf46722d6a6924489120,Deliplus,Maquillaje fluido mate long lasting Nº220,U,6.5,Perfumería y Parafarmacia > Maquillaje > Maquillaje Facial,Maquillaje Facial,https://a2.soysuper.com/cb141d3e8729113f42925d2b91b2c5a2.110.110.0.min.wmark.692bddec.jpg
69911c73a44508f9471333a2,Deliplus,Mascara pestañas curve xl negra (efecto lifting),U,4.5,Perfumería y Parafarmacia > Maquillaje > Maquillaje para Ojos,Maquillaje para Ojos,https://a1.soysuper.com/90c0e5dc8cef6275519ff10ec0e98f07.110.110.0.min.wmark.017636f6.jpg
